GEOID,B01003_E001,B01003_M001
06059001101,5031,289
06059001102,3237,170
06059001103,4594,426
06059001201,5594,314
06059001202,3662,311
06059001301,6519,340
06059001303,5884,345
06059001304,3982,422
06059001401,4495,321
06059001402,5023,349
06059001403,3023,200
06059001404,3934,400
06059001501,5792,388
06059001503,5049,388
06059001504,4844,376
06059001505,6931,406
06059001506,4286,285
06059001507,4745,290
06059001601,7986,520
06059001602,4924,260
06059001704,8256,468
06059001705,4002,255
06059001706,3648,362
06059001707,7291,391
06059001708,3619,242
06059001801,5510,437
06059001802,7823,727
06059001901,2552,242
06059001902,3213,257
06059001903,3713,301
06059011000,6077,498
06059011101,4191,254
06059011102,4134,390
06059011200,4374,471
06059011300,5153,567
06059011401,2219,211
06059011402,2608,270
06059011403,6654,624
06059011502,4485,307
06059011503,1839,188
06059011504,5916,678
06059011601,8430,911
06059011602,5314,730
06059011707,5911,506
06059011708,4566,449
06059011709,4610,262
06059011710,3455,239
06059011711,7878,604
06059011712,4734,343
06059011714,898,103
06059011715,6437,320
06059011716,5223,286
06059011717,2680,161
06059011718,3458,178
06059011720,6573,448
06059011721,5364,464
06059011722,2259,164
06059021802,6981,534
06059021807,4438,332
06059021809,3188,175
06059021810,3570,194
06059021812,6535,497
06059021813,4,6
06059021814,7192,602
06059021815,11591,520
06059021816,4966,200
06059021817,3848,237
06059021820,4259,233
06059021821,7772,477
06059021822,9543,505
06059021823,4238,251
06059021824,2782,149
06059021825,2940,229
06059021826,2806,283
06059021827,3064,312
06059021828,4146,213
06059021829,5278,321
06059021830,5943,324
06059021903,3825,372
06059021905,5145,295
06059021912,4365,220
06059021913,7435,476
06059021914,4306,461
06059021915,3997,252
06059021916,3308,210
06059021917,3221,251
06059021918,4710,441
06059021919,2825,160
06059021920,7041,349
06059021921,4217,250
06059021922,4841,336
06059021923,7141,435
06059021924,4314,298
06059032002,6833,424
06059032003,4824,274
06059032011,1639,218
06059032012,4104,327
06059032013,5275,564
06059032014,6397,514
06059032015,6679,532
06059032020,5890,317
06059032022,6792,594
06059032023,15339,771
06059032027,6583,484
06059032028,3247,323
06059032029,4297,323
06059032030,3971,257
06059032031,3641,222
06059032032,3065,189
06059032033,3623,255
06059032034,5786,303
06059032035,2461,216
06059032036,3674,190
06059032037,4882,281
06059032038,6361,317
06059032039,6762,398
06059032040,2620,157
06059032041,1011,139
06059032042,5355,261
06059032043,3736,193
06059032044,5700,340
06059032045,3352,166
06059032046,6004,350
06059032047,4534,299
06059032048,5742,361
06059032049,9613,641
06059032050,5143,285
06059032051,4423,309
06059032053,8131,510
06059032054,5452,500
06059032055,3671,311
06059032056,10803,529
06059032057,8499,374
06059032058,8226,351
06059032059,10275,652
06059032061,5521,426
06059042103,8067,506
06059042106,1696,206
06059042107,3490,471
06059042108,4997,538
06059042109,5175,465
06059042111,6004,369
06059042112,6700,542
06059042113,4294,324
06059042114,3636,404
06059042201,5207,661
06059042203,7896,662
06059042205,6813,444
06059042206,3478,217
06059042305,3492,267
06059042307,7090,441
06059042310,8190,556
06059042311,6022,516
06059042312,9752,751
06059042313,6723,551
06059042315,5824,378
06059042317,3156,252
06059042319,3448,285
06059042320,6011,426
06059042323,4913,473
06059042324,4465,452
06059042325,3551,261
06059042326,4781,334
06059042327,5124,323
06059042328,2526,192
06059042329,4059,344
06059042330,6489,702
06059042331,6215,582
06059042332,5318,359
06059042333,4207,289
06059042334,5453,573
06059042335,6869,570
06059042336,4201,266
06059042337,3352,279
06059042338,4603,342
06059042339,3472,306
06059052404,4220,577
06059052408,6342,568
06059052410,5452,591
06059052411,5264,381
06059052415,4110,207
06059052416,4318,407
06059052417,7893,527
06059052418,21717,864
06059052419,3434,186
06059052420,23390,1508
06059052421,5447,374
06059052422,8974,576
06059052423,5905,497
06059052424,4884,418
06059052425,5925,508
06059052426,20544,852
06059052427,5662,343
06059052428,6359,396
06059052502,5951,379
06059052505,5283,414
