GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059001101,2235,25,130,728,1352,66,13,0,47,6,377,39,80,230,447,64,20,14,59,10
06059001102,1878,50,183,898,747,2,0,0,0,2,268,49,118,313,269,12,14,14,14,12
06059001103,2444,125,400,936,983,104,91,13,0,0,429,114,258,298,372,106,104,21,19,19
06059001201,2612,140,215,791,1466,19,0,0,19,0,440,132,108,247,505,30,19,19,30,19
06059001202,1760,58,187,501,1014,78,0,30,5,43,273,66,110,136,260,49,14,34,9,33
06059001301,3938,116,570,1887,1365,0,0,0,0,0,455,146,185,383,437,19,19,19,19,19
06059001303,3263,73,366,1523,1301,10,0,0,0,10,709,56,145,585,362,18,19,19,19,18
06059001304,1731,188,310,522,711,10,0,0,0,10,302,230,146,247,197,17,14,14,14,17
06059001401,2015,0,257,952,806,83,0,0,74,9,253,14,116,277,254,110,14,14,109,13
06059001402,2464,0,411,984,1069,37,0,0,22,15,369,14,154,274,338,41,14,14,31,24
06059001403,2230,0,142,530,1558,90,0,0,81,9,903,14,98,164,889,106,14,14,104,15
06059001404,1744,43,114,537,1050,24,20,0,0,4,349,45,84,219,312,38,36,14,14,15
06059001501,2336,0,391,1000,945,0,0,0,0,0,308,19,206,255,322,19,19,19,19,19
06059001503,2342,37,270,1263,772,0,0,0,0,0,369,54,165,373,275,19,19,19,19,19
06059001504,2496,19,567,663,1247,17,0,0,17,0,371,22,155,178,372,26,14,14,26,14
06059001505,3213,68,529,1241,1375,25,0,25,0,0,366,91,279,309,387,40,19,40,19,19
06059001506,2019,11,93,890,1025,13,0,0,13,0,269,16,58,210,306,19,14,14,19,14
06059001507,3264,147,577,1869,671,0,0,0,0,0,399,105,157,465,256,19,19,19,19,19
06059001602,2172,0,237,966,969,22,0,0,12,10,217,14,83,210,236,25,14,14,21,15
06059001603,1456,56,241,705,454,0,0,0,0,0,313,86,165,248,221,14,14,14,14,14
06059001604,1777,20,93,987,677,0,0,0,0,0,474,31,71,460,217,14,14,14,14,14
06059001704,3834,225,442,1826,1341,64,0,0,51,13,455,177,219,398,345,71,19,19,67,23
06059001705,2095,120,449,877,649,17,0,0,17,0,242,181,159,232,220,26,14,14,26,14
06059001706,1660,0,46,797,817,0,0,0,0,0,294,14,42,228,260,14,14,14,14,14
06059001708,1563,18,163,546,836,10,0,10,0,0,261,28,95,159,264,17,14,17,14,14
06059001709,1339,50,58,640,591,0,0,0,0,0,179,56,42,131,182,14,14,14,14,14
06059001710,2401,11,187,1250,953,36,0,0,36,0,455,16,94,398,274,44,14,14,44,14
06059001801,2619,88,459,645,1427,56,37,0,19,0,376,87,174,196,419,70,53,19,28,19
