GEOID,B25044_E001,B25044_E003,B25044_E010,B25044_M001,B25044_M003,B25044_M010
06059001101,1462,23,0,59,24,12
06059001102,1069,9,14,29,13,16
06059001103,1424,0,76,56,12,77
06059001201,1429,36,78,45,29,60
06059001202,940,20,36,30,15,24
06059001301,2608,35,0,69,36,17
06059001303,1781,27,7,65,21,12
06059001304,1063,58,28,68,33,24
06059001401,1619,19,199,99,19,92
06059001402,1557,0,44,51,17,51
06059001403,1057,9,0,49,14,12
06059001404,999,29,26,57,31,33
06059001501,2366,76,0,84,59,17
06059001503,1839,34,36,73,27,33
06059001504,1755,8,66,87,13,54
06059001505,2432,15,13,70,22,23
06059001506,1664,0,191,53,12,88
06059001507,1808,33,68,94,41,45
06059001601,2756,134,121,121,71,66
06059001602,1840,29,48,59,27,47
06059001704,2482,61,0,105,55,17
06059001705,1379,35,30,68,30,24
06059001706,1289,0,121,84,12,76
06059001707,2490,15,34,79,23,38
06059001708,1231,9,18,64,14,28
06059001801,1480,31,183,86,39,99
06059001802,2198,16,208,75,27,102
06059001901,805,28,13,23,30,13
06059001902,761,16,6,40,15,9
06059001903,891,18,10,47,14,11
06059011000,2474,44,62,100,41,79
06059011101,1303,39,52,52,39,48
06059011102,1189,16,12,48,18,19
06059011200,1573,47,258,89,35,98
06059011300,1885,0,161,167,17,80
06059011401,702,0,0,55,12,12
06059011402,823,4,4,40,7,6
06059011403,1952,30,131,73,27,75
06059011502,1381,21,72,75,19,40
06059011503,514,13,0,52,16,12
06059011504,2021,17,187,124,29,112
06059011601,2268,0,210,116,17,92
06059011602,1481,38,17,52,38,19
06059011707,2364,78,35,118,56,38
06059011708,1637,0,94,110,12,61
06059011709,1418,0,0,47,12,12
06059011710,1212,28,58,39,23,51
06059011711,2575,0,203,140,17,121
06059011712,1552,24,22,52,28,25
06059011714,377,0,3,24,12,5
06059011715,2340,0,49,102,17,46
06059011716,1613,20,0,64,22,17
06059011717,1163,12,22,52,13,33
06059011718,1038,19,0,60,17,12
06059011720,1440,19,137,64,23,69
06059011721,1545,24,76,61,24,46
06059011722,968,27,55,66,24,46
06059021802,2552,31,289,111,36,121
06059021807,1351,0,0,31,12,12
06059021809,1061,13,23,45,16,18
06059021810,1161,0,6,43,12,9
06059021812,2043,20,14,125,26,24
06059021813,32,0,0,37,12,12
06059021814,2804,15,0,76,25,17
06059021815,2766,67,26,119,52,32
06059021816,1735,28,0,62,25,17
06059021817,1283,7,6,32,11,12
06059021820,1382,7,0,42,12,12
06059021821,2453,9,27,122,18,46
06059021822,2909,62,0,124,45,17
06059021823,1215,0,17,34,12,22
06059021824,844,10,0,32,12,12
06059021825,1080,5,62,54,8,58
06059021826,991,0,9,70,12,14
06059021827,1024,28,0,49,27,12
06059021828,1333,10,10,30,17,16
06059021829,1717,12,0,85,19,17
