GEOID20,C000,CNS15,CNS16,CNS17,CNS18
060590011011004,1,0,1,0,0
060590011011007,10,0,10,0,0
060590011011008,2,0,2,0,0
060590011011009,1,0,1,0,0
060590011011011,24,0,8,0,5
060590011011012,171,0,95,0,8
060590011012000,52,38,0,0,0
060590011012002,1,0,0,0,0
060590011012005,5,0,0,0,0
060590011012009,33,4,0,0,9
060590011012010,70,7,0,0,10
060590011013000,64,0,4,0,33
060590011013001,99,0,4,0,18
060590011013003,6,0,6,0,0
060590011013007,2,0,2,0,0
060590011014000,63,0,60,0,0
060590011014002,1,0,0,0,0
060590011014006,19,0,0,0,0
060590011014007,4,0,0,0,0
060590011014009,1,0,1,0,0
060590011014010,2,0,0,0,0
060590011014012,41,0,0,0,0
060590011021000,86,0,14,0,14
060590011021001,9,0,6,0,0
060590011021003,28,0,24,0,0
060590011021004,28,0,0,0,8
060590011021005,3,0,0,0,0
060590011021007,1,0,1,0,0
060590011022000,330,0,2,0,0
060590011022002,1,0,1,0,0
060590011022003,4,0,4,0,0
060590011022007,7,7,0,0,0
060590011022009,22,0,13,0,0
060590011023000,54,4,6,0,15
060590011023003,2,0,1,0,0
060590011023007,3,0,0,0,0
060590011023008,1,0,0,0,0
060590011023009,1,0,0,0,0
060590011023011,1,0,1,0,0
060590011031000,38,0,4,0,0
060590011031001,155,0,0,0,51
060590011031003,3,0,0,0,0
060590011031008,62,37,9,0,5
060590011032002,1,0,0,0,0
060590011032003,238,32,112,0,0
060590011032005,2,2,0,0,0
060590011032006,9,0,3,0,0
060590011032007,2,0,2,0,0
060590011032010,5,0,5,0,0
060590011032011,4,0,1,0,0
060590011033000,131,130,1,0,0
060590011033001,160,160,0,0,0
060590011033002,230,0,84,0,26
060590011033004,1,0,1,0,0
060590011033006,2,0,0,0,0
060590011033007,3,0,3,0,0
060590011033008,73,0,27,0,10
060590012011000,2,0,2,0,0
060590012011001,2,0,2,0,0
060590012011005,1,0,1,0,0
060590012011007,2,0,2,0,0
060590012011008,6,0,6,0,0
060590012011009,6,0,6,0,0
060590012012002,211,204,1,0,0
060590012012003,3,0,3,0,0
060590012012005,82,0,82,0,0
060590012012006,1,0,0,0,0
060590012012007,2,0,1,0,0
060590012012008,24,0,2,0,0
060590012012009,19,0,12,0,0
060590012012010,19,0,13,0,0
060590012012011,5,0,0,0,0
060590012012012,1,0,1,0,0
060590012012014,3,0,3,0,0
060590012013000,470,0,0,0,8
060590012013001,38,0,22,0,0
060590012013003,104,7,16,0,0
060590012021002,3,0,0,0,0
060590012021004,1,0,1,0,0
060590012021005,4,0,0,0,0
060590012021009,30,0,0,0,14
060590012021010,16,6,0,0,0
060590012021011,20,0,0,0,16
060590012022000,53,0,0,17,33
060590012022001,1,0,1,0,0
060590012022002,1,0,1,0,0
060590012022004,7,0,0,0,0
060590012022005,5,0,0,0,0
060590012022007,1,0,1,0,0
060590012022008,2,0,2,0,0
060590012022009,402,0,25,60,0
060590012023000,28,0,0,0,23
060590012023001,20,0,1,0,1
060590012023002,672,6,0,0,0
060590012023003,14,0,6,0,2
060590012023004,8,0,8,0,0
060590012023005,7,0,0,0,0
060590012023006,6,0,0,0,0
060590012023007,14,0,6,3,0
060590012023009,2,0,0,0,0
060590012023010,1,0,1,0,0
060590012023012,22,0,1,0,0
060590012023013,39,0,1,0,0
060590012023014,43,0,1,0,0
060590013011000,199,0,81,0,0
060590013011001,2,0,2,0,0
060590013011002,1,0,1,0,0
060590013011003,1,0,0,0,0
060590013011005,7,0,0,0,0
060590013011010,22,0,0,0,15
060590013011011,34,0,1,0,0
060590013012001,4,0,1,0,0
060590013012004,2,0,0,0,0
060590013012005,48,47,1,0,0
060590013012009,30,0,0,0,0
060590013012010,51,0,0,0,51
060590013012014,6,6,0,0,0
060590013012019,120,0,0,0,5
060590013013000,2,0,0,0,0
060590013013003,5,0,0,0,0
060590013013008,12,0,4,0,5
060590013013009,8,0,0,0,8
060590013014002,62,0,0,0,8
060590013014003,16,0,3,0,0
060590013014004,3,0,0,0,0
060590013014009,44,0,0,0,0
060590013015001,6,0,2,0,0
060590013015002,3,0,2,0,0
060590013015003,85,0,0,0,2
060590013015004,118,0,3,0,2
060590013015005,420,3,16,35,122
060590013015006,414,2,11,24,235
060590013015007,67,0,0,0,67
060590013031000,1,0,0,0,0
060590013031002,18,0,14,0,0
060590013031003,20,0,10,0,6
060590013031004,4,0,2,0,0
060590013031005,8,0,8,0,0
060590013031007,8,0,0,0,0
060590013032000,9,0,0,0,0
060590013032001,6,0,5,0,0
060590013032002,2,0,0,0,0
060590013032005,3,0,3,0,0
060590013033000,2,0,2,0,0
060590013033001,84,84,0,0,0
060590013033004,11,0,3,0,0
060590013033007,135,0,2,0,0
060590013033010,111,0,0,0,0
060590013033011,3,0,3,0,0
060590013033012,17,0,2,0,0
060590013033013,215,0,0,0,0
060590013033014,38,0,0,0,24
060590013033015,108,0,0,28,4
060590013033016,4,0,4,0,0
060590013041000,426,0,0,0,0
060590013041002,116,0,2,0,0
060590013041003,10,0,0,0,0
060590013041004,5,0,5,0,0
060590013041006,2,0,2,0,0
060590013041008,1179,14,16,3,0
060590013041009,80,0,0,0,13
060590013042001,1,0,1,0,0
060590013042006,1,0,0,0,0
