GEOID20,INTPTLAT20,INTPTLON20,ALAND20,pop2020
060590011011000,+33.9447287,-117.9519613,54209,105
060590011011001,+33.9452212,-117.9531017,27536,59
060590011011002,+33.9450064,-117.9552662,57559,129
060590011011003,+33.9458423,-117.9572997,7265,11
060590011011004,+33.9433113,-117.9573001,38447,88
060590011011005,+33.9445998,-117.9569732,20649,71
060590011011006,+33.9420524,-117.9559238,14077,39
060590011011007,+33.9427533,-117.9551851,33702,96
060590011011008,+33.9434681,-117.9524872,30488,76
060590011011009,+33.9427081,-117.9524832,29944,84
060590011011010,+33.9419297,-117.9525578,31716,87
060590011011011,+33.9403144,-117.9513306,40556,382
060590011011012,+33.9401233,-117.9542428,93863,264
060590011011013,+33.9409565,-117.9557316,23167,40
060590011012000,+33.9450803,-117.9732471,90167,153
060590011012001,+33.9448527,-117.9751518,14945,53
060590011012002,+33.9448772,-117.9742605,15846,49
060590011012003,+33.9435588,-117.9724491,30499,85
060590011012004,+33.9435763,-117.9757658,12821,56
060590011012005,+33.9425962,-117.9751720,46506,136
060590011012006,+33.9423270,-117.9731300,29977,86
060590011012007,+33.9427661,-117.9714498,12121,69
060590011012008,+33.9419691,-117.9714476,11971,33
060590011012009,+33.9407243,-117.9719081,41841,69
060590011012010,+33.9407461,-117.9748141,58765,144
060590011013000,+33.9420497,-117.9583196,115932,336
060590011013001,+33.9415705,-117.9613449,191162,175
060590011013002,+33.9448636,-117.9609929,24794,83
060590011013003,+33.9425626,-117.9596258,13400,37
060590011013004,+33.9441185,-117.9626273,29070,71
060590011013005,+33.9424301,-117.9629974,36558,87
060590011013006,+33.9423635,-117.9604292,9584,36
060590011013007,+33.9426864,-117.9642606,24432,116
060590011013008,+33.9447795,-117.9642836,17384,44
060590011013009,+33.9458537,-117.9629794,15025,58
060590011013010,+33.9452389,-117.9625562,20859,69
060590011014000,+33.9432554,-117.9670533,146548,326
060590011014001,+33.9450061,-117.9673968,19708,62
060590011014002,+33.9414966,-117.9668138,11008,48
060590011014003,+33.9413156,-117.9686141,9281,50
060590011014004,+33.9415392,-117.9676542,10804,48
060590011014005,+33.9414570,-117.9659891,11501,48
060590011014006,+33.9426228,-117.9698516,23870,53
060590011014007,+33.9436205,-117.9692948,22982,73
060590011014008,+33.9444717,-117.9692626,27231,79
060590011014009,+33.9453006,-117.9693048,21006,80
060590011014010,+33.9458537,-117.9693632,11086,59
060590011014011,+33.9414168,-117.9651562,12222,42
060590011014012,+33.9403040,-117.9672266,56442,67
060590011021000,+33.9383790,-117.9687999,49033,96
060590011021001,+33.9389628,-117.9703678,32492,161
060590011021002,+33.9371029,-117.9707783,12192,23
060590011021003,+33.9382997,-117.9721584,46876,157
060590011021004,+33.9393676,-117.9745948,41682,259
060590011021005,+33.9370578,-117.9737302,22736,80
060590011021006,+33.9381176,-117.9739583,25773,96
060590011021007,+33.9373803,-117.9755463,36672,128
060590011021008,+33.9383564,-117.9760768,8979,37
060590011021009,+33.9376352,-117.9700132,24165,80
060590011022000,+33.9340999,-117.9701465,205907,300
060590011022001,+33.9338080,-117.9724516,21026,96
060590011022002,+33.9339054,-117.9730842,28125,81
060590011022003,+33.9341260,-117.9736183,27177,81
060590011022004,+33.9359151,-117.9740204,10960,33
060590011022005,+33.9350392,-117.9752069,22182,96
060590011022006,+33.9350433,-117.9760823,22472,86
060590011022007,+33.9337663,-117.9749678,29193,103
060590011022008,+33.9352228,-117.9740825,9807,48
060590011022009,+33.9324598,-117.9755778,22380,48
060590011023000,+33.9309823,-117.9688854,31936,52
060590011023001,+33.9314514,-117.9715250,28320,107
060590011023002,+33.9307400,-117.9748910,27866,102
060590011023003,+33.9312012,-117.9757687,23075,206
060590011023004,+33.9301428,-117.9728319,15884,57
060590011023005,+33.9302049,-117.9719822,14753,45
060590011023006,+33.9302223,-117.9711176,14875,56
060590011023007,+33.9302175,-117.9702334,15233,52
060590011023008,+33.9288541,-117.9714130,103271,361
060590011023009,+33.9292702,-117.9757312,11465,30
060590011023010,+33.9300599,-117.9736783,17366,72
060590011023011,+33.9299584,-117.9745086,17607,85
060590011031000,+33.9373590,-117.9663892,146366,714
060590011031001,+33.9382346,-117.9679780,4185,0
060590011031002,+33.9353371,-117.9679496,3451,0
060590011031003,+33.9346013,-117.9654764,43172,132
060590011031004,+33.9359827,-117.9640539,28022,57
060590011031005,+33.9378060,-117.9638724,11532,32
060590011031006,+33.9377883,-117.9647053,12414,62
060590011031007,+33.9330123,-117.9679274,3326,0
060590011031008,+33.9329881,-117.9651555,127985,183
060590011032000,+33.9311177,-117.9600883,27126,183
060590011032001,+33.9311215,-117.9622816,38317,179
060590011032002,+33.9311420,-117.9638122,6591,18
060590011032003,+33.9311321,-117.9661534,52490,354
060590011032004,+33.9310006,-117.9679064,2439,0
060590011032005,+33.9291888,-117.9678887,3054,0
060590011032006,+33.9290008,-117.9661672,59015,257
060590011032007,+33.9299527,-117.9654219,16138,64
060590011032008,+33.9298928,-117.9645000,17388,80
060590011032009,+33.9296961,-117.9638085,7069,21
060590011032010,+33.9297634,-117.9615294,56112,392
060590011032011,+33.9286882,-117.9611930,42912,233
060590011033000,+33.9379315,-117.9524642,100957,457
060590011033001,+33.9372933,-117.9570186,161651,0
060590011033002,+33.9373141,-117.9616337,193221,299
060590011033003,+33.9359342,-117.9544024,8198,30
060590011033004,+33.9368418,-117.9537605,20202,98
060590011033005,+33.9359345,-117.9533166,12008,84
060590011033006,+33.9359359,-117.9515856,20212,121
060590011033007,+33.9337901,-117.9615609,57004,145
060590011033008,+33.9335264,-117.9600371,61012,559
060590012011000,+33.9350285,-117.9515789,20243,110
060590012011001,+33.9350266,-117.9537528,20227,94
060590012011002,+33.9351123,-117.9557089,13081,75
060590012011003,+33.9347483,-117.9570093,12936,57
060590012011004,+33.9347485,-117.9578731,12913,72
060590012011005,+33.9347477,-117.9587449,13177,68
060590012011006,+33.9329325,-117.9587421,19596,81
060590012011007,+33.9329328,-117.9578704,19232,105
060590012011008,+33.9329391,-117.9561469,57509,609
060590012011009,+33.9341161,-117.9526737,40791,191
060590012011010,+33.9343826,-117.9557060,12956,59
060590012012000,+33.9363940,-117.9466996,10272,37
060590012012001,+33.9363941,-117.9475162,4869,0
060590012012002,+33.9362321,-117.9492566,33142,92
060590012012003,+33.9342154,-117.9490768,81025,804
060590012012004,+33.9354862,-117.9469559,15267,68
060590012012005,+33.9345805,-117.9469520,15067,49
060590012012006,+33.9334458,-117.9469403,22942,149
060590012012007,+33.9323098,-117.9469338,15102,0
060590012012008,+33.9323056,-117.9485258,14378,68
060590012012009,+33.9323050,-117.9498880,10861,80
060590012012010,+33.9323046,-117.9512735,14842,112
060590012012011,+33.9332116,-117.9521857,31846,192
060590012012012,+33.9331890,-117.9543664,8533,103
060590012012013,+33.9323017,-117.9543823,9205,47
060590012012014,+33.9323035,-117.9529794,16824,61
060590012013000,+33.9313696,-117.9518166,26695,37
060590012013001,+33.9297379,-117.9529581,118696,816
060590012013002,+33.9299621,-117.9517821,17381,81
060590012013003,+33.9300257,-117.9570014,162810,883
060590012021000,+33.9367102,-117.9385327,24939,107
060590012021001,+33.9365588,-117.9396050,19237,79
060590012021002,+33.9365482,-117.9404778,18903,128
060590012021003,+33.9365531,-117.9413508,19233,94
060590012021004,+33.9347842,-117.9412617,14358,98
060590012021005,+33.9341549,-117.9396233,60862,345
060590012021006,+33.9345906,-117.9379676,20493,146
060590012021007,+33.9361827,-117.9378534,12387,73
060590012021008,+33.9332442,-117.9379627,10134,88
060590012021009,+33.9323302,-117.9379582,10621,39
060590012021010,+33.9323286,-117.9396011,20882,120
060590012021011,+33.9329906,-117.9412293,24860,140
060590012022000,+33.9383831,-117.9429746,35215,71
060590012022001,+33.9363436,-117.9428800,58442,195
060590012022002,+33.9372469,-117.9450698,17882,86
060590012022003,+33.9363943,-117.9450571,20176,52
060590012022004,+33.9354895,-117.9450397,20222,73
060590012022005,+33.9345663,-117.9450750,21021,85
060590012022006,+33.9345797,-117.9428646,20373,120
060590012022007,+33.9334671,-117.9428713,29361,37
060590012022008,+33.9334352,-117.9450207,29549,137
060590012022009,+33.9323271,-117.9439072,41576,211
060590012023000,+33.9313388,-117.9424854,15564,29
060590012023001,+33.9313395,-117.9440211,17308,62
060590012023002,+33.9313402,-117.9454718,13742,0
060590012023003,+33.9313553,-117.9466999,12129,20
060590012023004,+33.9313497,-117.9477886,10429,45
060590012023005,+33.9313490,-117.9487958,10424,65
060590012023006,+33.9313485,-117.9498845,12120,31
060590012023007,+33.9296089,-117.9481632,106827,288
060590012023008,+33.9287397,-117.9495550,10655,76
060590012023009,+33.9303437,-117.9454723,12468,46
060590012023010,+33.9303436,-117.9440223,15741,150
060590012023011,+33.9303425,-117.9424881,14119,145
060590012023012,+33.9295037,-117.9424385,10701,38
060590012023013,+33.9293298,-117.9442546,32740,106
060590012023014,+33.9285727,-117.9441287,30208,141
060590013011000,+33.9254853,-117.9625103,116568,354
060590013011001,+33.9259621,-117.9604638,8847,60
060590013011002,+33.9272763,-117.9613764,7580,32
060590013011003,+33.9265498,-117.9607673,12421,44
060590013011004,+33.9253963,-117.9604346,7763,62
060590013011005,+33.9278433,-117.9660867,23907,98
060590013011006,+33.9274960,-117.9649006,3542,41
060590013011007,+33.9273837,-117.9668395,5374,49
060590013011008,+33.9274758,-117.9658797,7186,46
060590013011009,+33.9275673,-117.9678747,1911,0
060590013011010,+33.9257647,-117.9678538,3853,0
060590013011011,+33.9257782,-117.9657002,100185,521
060590013011012,+33.9269586,-117.9653777,6141,31
060590013011013,+33.9273521,-117.9639960,7908,55
060590013011014,+33.9270925,-117.9631673,10807,56
060590013012000,+33.9245420,-117.9686634,2166,0
060590013012001,+33.9232838,-117.9700914,26020,86
060590013012002,+33.9245236,-117.9727763,8319,0
060590013012003,+33.9245601,-117.9757637,2927,0
060590013012004,+33.9231610,-117.9757811,43713,147
060590013012005,+33.9218143,-117.9724396,154041,304
060590013012006,+33.9192476,-117.9732911,27057,99
060590013012007,+33.9217129,-117.9748344,57777,175
060590013012008,+33.9213627,-117.9711776,38022,133
060590013012009,+33.9196185,-117.9693710,130400,751
060590013012010,+33.9232218,-117.9687690,43932,74
060590013012011,+33.9182359,-117.9732132,16552,68
060590013012012,+33.9182419,-117.9752127,13268,45
060590013012013,+33.9179004,-117.9762838,30580,104
060590013012014,+33.9192348,-117.9756235,11189,27
