tract10,tract20,share
06059001101,06059001101,1.00000000
06059001102,06059001102,1.00000000
06059001103,06059001103,1.00000000
06059001201,06059001201,1.00000000
06059001202,06059001202,1.00000000
06059001301,06059001102,0.00044158
06059001301,06059001301,0.99955842
06059001303,06059001303,1.00000000
06059001304,06059001304,1.00000000
06059001401,06059001401,1.00000000
06059001402,06059001402,1.00000000
06059001403,06059001403,1.00000000
06059001404,06059001404,1.00000000
06059001501,06059001501,1.00000000
06059001503,06059001503,0.99463696
06059001503,06059001603,0.00054402
06059001503,06059001604,0.00481902
06059001504,06059001504,1.00000000
06059001505,06059001505,1.00000000
06059001506,06059001506,1.00000000
06059001507,06059001507,1.00000000
06059001601,06059001503,0.00029166
06059001601,06059001603,0.48126733
06059001601,06059001604,0.51790230
06059001601,06059011300,0.00047498
06059001601,06059011401,0.00006373
06059001602,06059001602,1.00000000
06059001704,06059001704,1.00000000
06059001705,06059001705,1.00000000
06059001706,06059001706,0.99003574
06059001706,06059011200,0.00996426
06059001707,06059001709,0.35158508
06059001707,06059001710,0.64841492
06059001708,06059001708,1.00000000
06059001801,06059001801,0.97371971
06059001801,06059001802,0.00789460
06059001801,06059110607,0.01838570
06059001802,06059001802,0.99347022
06059001802,06059086701,0.00652978
06059001901,06059001901,1.00000000
06059001902,06059001902,1.00000000
06059001903,06059001903,0.99705513
06059001903,06059086701,0.00294487
06059011000,06059011000,1.00000000
06059011101,06059011101,1.00000000
06059011102,06059011102,1.00000000
06059011200,06059011200,1.00000000
06059011300,06059011300,1.00000000
06059011401,06059011401,1.00000000
06059011402,06059011402,1.00000000
06059011403,06059011403,1.00000000
06059011502,06059011502,0.99991949
06059011502,06059011504,0.00008051
06059011503,06059011503,1.00000000
06059011504,06059011504,1.00000000
06059011601,06059011601,1.00000000
06059011602,06059011602,1.00000000
06059011707,06059011707,0.99681544
06059011707,06059011709,0.00318456
06059011708,06059011707,0.01457785
06059011708,06059011708,0.98542215
06059011709,06059011707,0.00194763
06059011709,06059011709,0.99805237
06059011710,06059011710,1.00000000
06059011711,06059011711,1.00000000
06059011712,06059011712,1.00000000
06059011714,06059011714,0.97426818
06059011714,06059011716,0.02573182
06059011715,06059011715,0.99860909
06059011715,06059011718,0.00139091
06059011716,06059011716,1.00000000
06059011717,06059011717,1.00000000
06059011718,06059011718,1.00000000
06059011720,06059011720,1.00000000
06059011721,06059011721,1.00000000
06059011722,06059011722,1.00000000
06059021802,06059021802,1.00000000
06059021807,06059021807,0.94836096
06059021807,06059021816,0.00546070
06059021807,06059021817,0.01687085
06059021807,06059021830,0.02930750
06059021809,06059021809,1.00000000
06059021810,06059011718,0.00065019
06059021810,06059021809,0.00780545
06059021810,06059021810,0.99154436
06059021812,06059021812,0.99981366
06059021812,06059021816,0.00018634
06059021813,06059021813,1.00000000
06059021814,06059021814,1.00000000
06059021815,06059021814,0.00031085
06059021815,06059021822,0.02386921
06059021815,06059021831,0.47913408
06059021815,06059021832,0.49668586
06059021816,06059021816,1.00000000
06059021817,06059021817,1.00000000
06059021820,06059021810,0.00001011
06059021820,06059021820,0.99998989
06059021821,06059021821,1.00000000
06059021822,06059021822,1.00000000
06059021823,06059021823,1.00000000
06059021824,06059021824,0.99647094
06059021824,06059021829,0.00335523
06059021824,06059021830,0.00017384
06059021825,06059021825,0.98779697
06059021825,06059021827,0.01220303
06059021826,06059021826,1.00000000
06059021827,06059021827,1.00000000
06059021828,06059021828,1.00000000
06059021829,06059021829,1.00000000
06059021830,06059021825,0.00069914
06059021830,06059021830,0.99930086
06059021903,06059021903,0.99040889
06059021903,06059021915,0.00959111
06059021905,06059021905,1.00000000
06059021912,06059021912,0.95663624
06059021912,06059021916,0.00011562
06059021912,06059021917,0.00257554
06059021912,06059021920,0.03879368
06059021912,06059021923,0.00187892
06059021913,06059021913,1.00000000
06059021914,06059021914,1.00000000
06059021915,06059021915,1.00000000
06059021916,06059021916,1.00000000
06059021917,06059021912,0.00212718
06059021917,06059021917,0.99787282
06059021918,06059021918,1.00000000
06059021919,06059021919,0.99768508
06059021919,06059021920,0.00231492
06059021920,06059021912,0.00490995
06059021920,06059021916,0.00949125
06059021920,06059021920,0.98559880
06059021921,06059021921,0.96549861
06059021921,06059021922,0.03450139
06059021922,06059021922,1.00000000
06059021923,06059021912,0.00158684
06059021923,06059021923,0.99754956
06059021923,06059021924,0.00086360
06059021924,06059021826,0.08772348
06059021924,06059021912,0.00450873
06059021924,06059021924,0.90776779
06059032002,06059032002,1.00000000
06059032003,06059032003,1.00000000
06059032011,06059021924,0.00004075
06059032011,06059032011,0.99929672
