GEOID,lat,lon,aland_sqmi
06059001101,33.9427647,-117.9631381,0.676
06059001102,33.9340209,-117.972269,0.394
06059001103,33.9346776,-117.9615275,0.519
06059001201,33.9324824,-117.9531628,0.337
06059001202,33.9331435,-117.9434406,0.338
06059001301,33.9227671,-117.9678486,0.746
06059001303,33.9209014,-117.9511671,0.455
06059001304,33.9244375,-117.9455411,0.484
06059001401,33.940824,-117.9410039,0.615
06059001402,33.9388372,-117.9286875,0.479
06059001403,33.9393103,-117.9199501,0.513
06059001404,33.9247336,-117.9292136,1.13
06059001501,33.9340988,-117.9135027,1.236
06059001503,33.9154345,-117.9082181,1.184
06059001504,33.9160556,-117.890708,0.795
06059001505,33.9038169,-117.8940242,1.205
06059001506,33.938319,-117.8887853,1.741
06059001507,33.9264991,-117.8945165,0.733
06059001602,33.8908936,-117.9021324,1.64
06059001603,33.8952809,-117.9213112,1.058
06059001604,33.9104416,-117.9234129,0.895
06059001704,33.8866381,-117.9568638,1.173
06059001705,33.9117646,-117.9402667,0.616
06059001706,33.8932937,-117.9383193,1.463
06059001708,33.9054515,-117.9505071,1.162
06059001709,33.9118184,-117.9677188,0.767
06059001710,33.9002308,-117.9684399,1.223
06059001801,33.8671814,-117.979525,0.665
06059001802,33.8630156,-117.9720501,0.454
06059001901,33.8637759,-117.9637238,0.318
06059001902,33.8637798,-117.9548148,0.331
06059001903,33.8567331,-117.9588441,0.355
06059011000,33.8735241,-117.9535931,1.174
06059011101,33.8604798,-117.9459428,0.398
06059011102,33.8605165,-117.937447,0.427
06059011200,33.8733305,-117.9361038,0.651
06059011300,33.8755102,-117.9257733,0.687
06059011401,33.8797538,-117.9180787,0.549
06059011402,33.880582,-117.907682,0.439
06059011403,33.8715955,-117.9057059,0.573
06059011502,33.8707215,-117.8891126,0.52
06059011503,33.8793633,-117.8934361,0.332
06059011504,33.8820583,-117.8831378,0.761
06059011601,33.8608342,-117.9286331,0.451
06059011602,33.8615748,-117.9022903,2.178
06059011707,33.9044712,-117.8756618,0.822
06059011708,33.8930103,-117.8785247,0.359
06059011709,33.9025381,-117.8612771,0.799
06059011710,33.8923778,-117.862511,0.531
06059011711,33.8856931,-117.8692764,0.437
06059011712,33.8766552,-117.8702302,0.553
06059011714,33.8561655,-117.8519526,2.25
06059011715,33.8823899,-117.8528754,0.956
06059011716,33.8721807,-117.8529122,0.599
06059011717,33.9029232,-117.8494835,0.418
06059011718,33.8939104,-117.8479811,0.501
06059011720,33.8579676,-117.8750183,0.558
06059011721,33.8703829,-117.8729876,0.274
06059011722,33.8654909,-117.8706076,0.539
06059021802,33.8895405,-117.8163113,1.663
06059021807,33.868626,-117.763585,0.778
06059021809,33.8951692,-117.8357083,0.636
06059021810,33.8842982,-117.8350581,0.599
06059021812,33.8715012,-117.8062244,1.174
06059021813,33.8581232,-117.8046708,1.639
06059021814,33.917542,-117.8653648,1.741
06059021816,33.8779864,-117.794769,1.111
06059021817,33.8698165,-117.7846683,0.435
06059021820,33.8764203,-117.8282551,0.772
06059021821,33.8683071,-117.8310403,0.846
06059021822,33.9061473,-117.7927162,4.416
06059021823,33.896973,-117.7814562,0.683
06059021824,33.8986954,-117.7692755,0.626
06059021825,33.8994,-117.7529433,2.569
06059021826,33.8743468,-117.7098301,1.522
06059021827,33.8939942,-117.7311788,3.146
06059021828,33.8831155,-117.7050608,2.05
06059021829,33.8867546,-117.7814387,0.992
06059021830,33.8794719,-117.7667185,1.264
06059021831,33.9124563,-117.8357565,1.996
06059021832,33.9386678,-117.8257696,12.371
06059021903,33.8517027,-117.8127665,1.012
06059021905,33.8584329,-117.7734031,1.366
06059021912,33.8166155,-117.7564056,7.895
06059021913,33.7979555,-117.8074249,0.921
06059021914,33.7808693,-117.8028433,0.66
06059021915,33.8443711,-117.8118234,1.419
06059021916,33.8406807,-117.7923531,0.839
06059021917,33.8037516,-117.7802613,1.823
06059021918,33.7973502,-117.7954088,0.972
06059021919,33.8488328,-117.7697025,0.84
06059021920,33.8356458,-117.7654493,1.838
06059021921,33.8548685,-117.7545025,1.531
06059021922,33.8599299,-117.7444675,0.837
06059021923,33.8371914,-117.7321707,4.218
06059021924,33.811026,-117.6969462,29.926
06059032002,33.6141596,-117.6660675,0.844
06059032003,33.6050678,-117.6672345,0.86
06059032011,33.7494876,-117.6163863,45.581
06059032012,33.5912249,-117.6666408,0.9
06059032013,33.5727476,-117.6651142,1.043
06059032014,33.6164589,-117.6973606,0.695
06059032015,33.6091503,-117.6853284,0.981
06059032020,33.6059752,-117.6438225,1.035
06059032022,33.55068,-117.6666493,1.786
06059032027,33.6288846,-117.6812546,0.679
06059032028,33.6244283,-117.6770403,0.779
06059032029,33.6446586,-117.6650242,0.562
06059032030,33.6412824,-117.661318,0.711
06059032031,33.6443064,-117.6494963,0.61
06059032032,33.6322217,-117.6565092,0.7
06059032033,33.6452899,-117.640004,0.353
06059032034,33.63945,-117.6299671,0.987
06059032035,33.6373238,-117.6437788,0.459
06059032036,33.6185325,-117.6540509,0.657
06059032037,33.6195275,-117.6376827,1.406
06059032038,33.5941864,-117.6469211,1.135
06059032039,33.5764351,-117.6492296,0.743
06059032040,33.5812401,-117.6535608,0.404
06059032041,33.6518163,-117.5071044,65.582
06059032042,33.6539944,-117.5682677,1.718
06059032043,33.5965852,-117.567123,4.022
06059032044,33.6082129,-117.5913027,5.995
06059032045,33.5815287,-117.5981029,1.393
06059032046,33.5765886,-117.5831908,2.65
06059032047,33.6575309,-117.6419276,0.443
06059032048,33.651764,-117.6288906,0.74
06059032049,33.6638248,-117.6150118,3.879
06059032050,33.6489586,-117.5956891,0.889
06059032051,33.6485029,-117.5883621,0.322
06059032053,33.6159751,-117.6205427,3.245
06059032054,33.6388097,-117.5952959,0.598
06059032055,33.641631,-117.5850141,0.479
06059032057,33.5699117,-117.640169,1.68
06059032058,33.5409988,-117.6451783,2.697
06059032059,33.5521359,-117.6382734,1.001
06059032061,33.5222902,-117.6458826,3.265
06059032062,33.4785252,-117.5953057,1.624
06059032063,33.4734038,-117.5830923,2.335
06059032064,33.5184948,-117.5437029,37.743
06059032065,33.586945,-117.6167142,3.522
06059032066,33.5399881,-117.5948829,11.242
06059042106,33.4374395,-117.6339537,0.987
06059042107,33.4320655,-117.621785,0.396
06059042108,33.4249906,-117.6239766,0.458
06059042109,33.4460857,-117.5948352,2.165
06059042111,33.4676404,-117.6267181,2.273
06059042112,33.4567135,-117.6170651,2.465
06059042113,33.4308168,-117.6067263,1.351
06059042114,33.4200735,-117.5931414,1.511
06059042115,33.4008823,-117.5974403,0.464
06059042116,33.4146683,-117.609857,0.838
06059042201,33.460947,-117.6673152,1.699
06059042203,33.4867824,-117.6485449,4.334
06059042205,33.4726083,-117.6384355,2.636
06059042206,33.4516492,-117.6512749,0.514
06059042305,33.4993764,-117.7425163,0.991
06059042307,33.5987527,-117.6918666,0.957
06059042311,33.4942878,-117.6810635,1.799
06059042312,33.5068418,-117.6615037,1.583
06059042313,33.4622587,-117.6973164,0.92
06059042315,33.5378494,-117.6797319,2.177
06059042317,33.5110087,-117.7138298,1.213
06059042319,33.5382812,-117.7080964,1.291
06059042320,33.5707126,-117.7106408,1.175
06059042323,33.4741037,-117.7165218,1.291
06059042324,33.5002854,-117.7268045,1.624
06059042325,33.5265675,-117.730867,2.5
06059042326,33.5365937,-117.7194079,0.754
06059042327,33.5874295,-117.6925474,0.975
06059042328,33.5832048,-117.6841367,1.135
06059042329,33.5316199,-117.6978084,0.881
06059042330,33.5264817,-117.6933882,0.54
06059042331,33.5168081,-117.6960579,0.797
06059042332,33.5007819,-117.7016699,1.685
06059042333,33.5688296,-117.6835972,1.925
06059042334,33.5603874,-117.7049719,0.513
06059042335,33.5589692,-117.6948277,0.655
06059042336,33.5469795,-117.6966091,0.774
06059042337,33.5025259,-117.6868669,1.065
06059042338,33.4834265,-117.7050629,0.769
06059042339,33.4800979,-117.6965196,0.428
06059042340,33.492418,-117.6744668,0.36
06059042341,33.4817173,-117.6780547,0.721
06059052408,33.6493459,-117.704766,1.465
06059052410,33.6380407,-117.7185089,2.019
06059052411,33.6235666,-117.7042969,0.69
06059052415,33.6396957,-117.6945315,0.616
06059052416,33.6340547,-117.6895286,0.509
06059052417,33.7055515,-117.7621304,0.816
06059052419,33.7636019,-117.7649501,0.686
06059052421,33.7169344,-117.7543676,0.967
06059052422,33.6695033,-117.6788628,2.589
06059052423,33.65888,-117.6599285,1.464
06059052424,33.6444339,-117.6761482,0.598
06059052425,33.6565412,-117.6804279,1.007
06059052427,33.6829143,-117.6498082,2.164
06059052428,33.6797854,-117.633177,2.238
06059052429,33.7064721,-117.739799,0.789
06059052430,33.7152771,-117.6850058,17.733
06059052431,33.6994791,-117.7529852,0.521
06059052432,33.6939752,-117.7453018,0.65
06059052433,33.6880204,-117.7600673,1.301
06059052434,33.7383582,-117.7738553,0.671
06059052435,33.7305072,-117.7692958,0.663
06059052436,33.7255006,-117.7556906,0.649
06059052437,33.7364976,-117.7349328,10.168
06059052438,33.6799753,-117.6991452,3.377
06059052439,33.6704684,-117.7304207,5.799
06059052502,33.7195629,-117.811026,1.172
06059052505,33.6925839,-117.7753374,0.46
06059052506,33.6856826,-117.7807058,0.363
06059052511,33.6844543,-117.7983795,0.702
06059052513,33.678779,-117.7893209,0.611
06059052514,33.6693594,-117.7980786,0.572
06059052518,33.6594335,-117.7578719,2.242
06059052519,33.6693095,-117.8184805,0.378
06059052520,33.6744311,-117.8086676,0.457
06059052521,33.6849393,-117.8221596,0.513
06059052522,33.6802874,-117.8217234,0.361
06059052523,33.6736209,-117.8238921,0.46
06059052524,33.7297953,-117.7970172,0.925
06059052526,33.7021007,-117.784626,0.635
06059052527,33.7086371,-117.7951974,1.305
06059052528,33.6926896,-117.7907469,0.401
06059052529,33.6936324,-117.8050892,0.328
06059052530,33.6902035,-117.8137796,0.392
06059052531,33.6639057,-117.7845669,0.415
06059052532,33.6747665,-117.7726183,1.59
06059052533,33.7118461,-117.7722976,0.777
