route,fy2017,fy2019,fy2020q3,rvh_fy2017,rvh_fy2019,rvh_fy2020q3
1,616986,558491,385710,44816,43331,33018
24,141255,123619,,9086,8710,
25,442721,366601,266672,21733,21473,16229
26,415456,436160,320070,23250,24544,19109
29,2023329,1852018,1243921,70298,73286,52831
30,630588,649329,494816,32433,32134,24271
33,406748,380214,269878,17451,17579,13208
35,861232,800787,569160,,36334,27411
37,975382,1090725,777464,39744,44752,33519
38,1206326,1065887,732153,44519,43020,32318
42,1675974,1521160,1098476,55285,55490,41750
43,2190951,2095510,1515585,66539,67414,50581
46,670422,639251,452008,27212,27470,20797
47,2228373,2084732,1489528,76332,77461,58435
50,1220156,1219499,904877,48971,53965,41353
53,1909607,1403386,973836,55205,43119,32844
54,1228705,1204423,869506,50050,51446,38833
55,1333030,1288216,921140,57368,57853,43866
56,421113,417674,296926,18179,20070,15346
57,2181257,1961526,1410344,65092,64211,48009
59,551352,551857,404540,30576,32592,24900
60,1999862,1902206,1360015,59306,62675,47464
64,1640158,1539228,1083794,40246,39800,29611
66,2119226,2025989,1467798,58568,58823,44908
70,992766,917393,652545,,41479,31732
71,641852,693541,517972,39045,39781,30175
72,399059,498965,364373,20034,22568,17149
79,387350,438354,317759,27323,28466,21558
82,110799,,,5945,4191,3120
83,691415,617939,414666,34360,34374,25603
85,117433,,,11102,8118,6079
86,160649,143398,101451,11284,10892,8234
89,368348,347150,245835,19135,21658,15219
90,311782,325438,229348,17567,21310,16139
91,407213,390773,280858,24787,29029,22087
129,231533,191789,139376,14207,12900,10198
143,195529,182401,135843,12704,12237,9903
150,175936,174724,126948,,9911,7528
153,141030,112865,,12244,11746,9011
167,177535,202283,144808,14409,14607,10601
178,129126,,,10991,8481,6413
529,,121571,243859,,9820,19110
53X,228478,663354,483523,8857,23228,17463
543,1176910,953471,641470,40348,33100,24961
560,781831,772805,533808,34042,33793,25681
57X,1145261,1105807,775154,35484,35697,25858
64X,615387,619337,435532,16135,16321,12395
